Date Disclosed,Project Name,Document Type,Project Number,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
02/10/2011,PTC Fin Loan,Summary of Proposed Investment,30223,Loan,PTC INDIA FINANCIAL SERVICES LIMITED,India,IND,Infrastructure,FI,"Global Industry, Financial Markets",Active,03/14/2011,,,50,,50,IN,01/18/2021 09:37:00 PM
02/02/2011,Exim India: South Asian IDA countries Export Facility,Summary of Proposed Investment,30554,Loan,EXPORT-IMPORT BANK OF INDIA,India,IND,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,03/04/2011,,,75,,75,IN,01/18/2021 09:37:00 PM
01/19/2011,Kaizen,Summary of Proposed Investment,29922,Equity,KAIZEN PRIVATE EQUITY,India,IND,Financial Institutions,FI,"Gbl Ind, Manufact, Agribus &amp; Services",Active,02/25/2011,,,,10,10,IN,01/18/2021 09:37:00 PM
01/13/2011,Bandhan,Summary of Proposed Investment,27223,Equity,BANDHAN FINANCIAL SERVICES LIMITED,India,IND,Financial Institutions,FI,"Global Industry, Financial Markets",Active,02/17/2011,,,,30,30,IN,01/18/2021 09:37:00 PM
12/07/2010,SEWA,Summary of Proposed Investment,30204,Guarantee,Self Employed Women's Association,India,IND,Infrastructure,FI,"Global Industry, Financial Markets",Completed,01/10/2011,,1.75,,,1.75,IN,01/18/2021 09:37:00 PM
12/02/2010,Vinati Organics Limited,Summary of Proposed Investment,29988,Loan,VINATI ORGANICS LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,01/03/2011,,,16,0,16,IN,01/18/2021 09:37:00 PM
11/03/2010,Gamesa,Summary of Proposed Investment,29815,Loan,GAMESA RENEWABLE PRIVATE LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,12/06/2010,,,14.72,,14.72,IN,01/18/2021 09:37:00 PM
08/20/2010,India Collections Management Private Ltd,Summary of Proposed Investment,28136,Equity,India Collections Management Private Ltd.,India,IND,Infrastructure,FI,Regional Industry - FIG Asia & Pac,Completed,09/20/2010,,,,1.96,1.96,IN,01/18/2021 09:37:00 PM
08/04/2010,Attero Recycling,Summary of Proposed Investment,29690,Equity,ATTERO RECYCLING PRIVATE LIMITED,India,IND,Financial Institutions,B,Gbl Infrastructure &amp; Natural Resources,Active,09/24/2010,,,0,5,5,IN,01/18/2021 09:37:00 PM
05/26/2010,National Collateral Management Services Limited,Summary of Proposed Investment,29266,Equity,NATIONAL COLLATERAL MANAGEMENT SERVICES LIMITED,India,IND,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,07/15/2010,,,,6.75,6.75,IN,01/18/2021 09:37:00 PM
05/17/2010,Craftsman I,Summary of Proposed Investment,29515,Equity,CRAFTSMAN AUTOMATION LIMITED,India,IND,Infrastructure,B,"Gbl Ind, Manufact, Agribus &amp; Services",Active,06/18/2010,,,,12.93,12.93,IN,01/18/2021 09:37:00 PM
05/11/2010,Exim India II,Summary of Proposed Investment,29219,Loan,EXPORT-IMPORT BANK OF INDIA,India,IND,Infrastructure,FI,Regional Industry - FIG Asia & Pac,Completed,06/11/2010,,,75,,75,IN,01/18/2021 09:37:00 PM
05/04/2010,Atul II,Summary of Proposed Investment,29019,Loan,ATUL LIMITED,India,IND,Infrastructure,B,Regional Industry - MAS Asia & Pac,Completed,06/07/2010,,,12.5,,12.5,IN,01/18/2021 09:37:00 PM
04/30/2010,Lok II,Summary of Proposed Investment,29593,Equity,SARVA CAPITAL LLC,India,IND,Infrastructure,FI,Regional Industry - FIG Asia & Pac,Active,06/03/2010,,,,15,15,IN,01/18/2021 09:37:00 PM
04/27/2010,WEG Industries (India) Pvt. Ltd.,Summary of Proposed Investment,29053,Loan,Weg S/A.,India,IND,Infrastructure,B,Regional Industry - MAS LAC,Completed,05/27/2010,,,25,,25,IN,01/18/2021 09:37:00 PM
04/22/2010,Apollo - III,Summary of Proposed Investment,29406,Loan,APOLLO TYRES LIMITED,India,IND,Infrastructure,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,05/26/2010,,,30,,30,IN,01/18/2021 09:37:00 PM
04/21/2010,Applied Solar,Summary of Proposed Investment,29501,Loan,APPLIED SOLAR TECHNOLOGIES INDIA PRIVATE LIMITED,India,IND,Infrastructure,C,Gbl Infrastructure &amp; Natural Resources,Active,05/23/2010,,,15,6,21,IN,01/18/2021 09:37:00 PM
