Date Disclosed,Project Name,Document Type,Project Number,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
03/01/2002,Tata Engineering Ltd,Summary of Proposed Investment,11258,Guarantee,TATA MOTORS LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,04/11/2002,,67,0,,67,IN,01/18/2021 09:37:00 PM
12/20/2001,Mahindra & Mahindra Financial Services Limited,Summary of Proposed Investment,11349,Loan,MAHINDRA AND MAHINDRA LIMITED,India,IND,other,FI,Regional Industry - FIG Asia & Pac,Completed,01/31/2002,,,17,,17,IN,01/18/2021 09:37:00 PM
09/06/2001,United Phosphorus Limited,Summary of Proposed Investment,10839,Loan,UPL LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,10/09/2001,,,17.5,,17.5,IN,01/18/2021 09:37:00 PM
07/27/2001,Sundaram Home Finance Ltd.,Summary of Proposed Investment,10442,Loan,SUNDARAM HOME FINANCE LIMITED,India,IND,other,C,Regional Industry - FIG Asia & Pac,Completed,08/30/2001,,,10.42,,10.42,IN,01/18/2021 09:37:00 PM
06/15/2001,GEF PVMTI Sunlit Media,Summary of Proposed Investment,506491,,UNKNOWN,India,IND,Infrastructure,C,Advisory Services,Completed,07/16/2001,,,,,,IN,01/18/2021 09:37:00 PM
06/06/2001,Webdunia,Summary of Proposed Investment,10934,Equity,Webdunia,India,IND,other,C,Gbl Infrastructure & Natural Resources,Completed,07/16/2001,,,,2,2,IN,01/18/2021 09:37:00 PM
04/06/2001,NIIT - Hole in the Wall,Summary of Proposed Investment,10665,Equity,Hole-in-the-Wall Education Limited,India,IND,other,C,Regional Industry - MAS Asia & Pac,Completed,05/24/2001,,,,1.65,1.65,IN,01/18/2021 09:37:00 PM
03/02/2001,Mahindra Infrastructure Company,Summary of Proposed Investment,10384,Equity,MAHINDRA INFRASTRUCTURE DEVELOPERS LIMITED,India,IND,other,B,Regional Industry - INF Asia & Pac,Completed,04/02/2001,,,,10,10,IN,01/18/2021 09:37:00 PM
02/28/2001,Indian Infrastructure Equipment Limited,Summary of Proposed Investment,10598,Loan,Indian Infrastructure Equipment Limited,India,IND,other,B,Regional Industry - FIG Asia & Pac,Completed,03/30/2001,,,8,2,10,IN,01/18/2021 09:37:00 PM
01/22/2001,Orchid Chemicals & Pharmaceuticals Ltd.,Summary of Proposed Investment,10591,Loan,ORCHID PHARMA LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Completed,02/21/2001,,,30,0,30,IN,01/18/2021 09:37:00 PM
01/10/2001,GEF PVMTI Aqua Solar (P) Ltd.,Summary of Proposed Investment,505969,,UNKNOWN,India,IND,Infrastructure,B,Advisory Services,Completed,02/12/2001,,,,,,IN,01/18/2021 09:37:00 PM
11/20/2000,Oriental Carbon and Chemicals Ltd.,Summary of Proposed Investment,10223,Loan,CONTINENTAL CARBON INDIA LIMITED,India,IND,other,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,01/30/2001,,,9,,9,IN,01/18/2021 09:37:00 PM
10/12/2000,Bharti Telecom,Summary of Proposed Investment,10379,Guarantee,BHARTI AIRTEL LIMITED,India,IND,other,B,Gbl Infrastructure & Natural Resources,Completed,11/15/2000,,50,,20,70,IN,01/18/2021 09:37:00 PM
09/21/2000,GEF PVMTI Shell Renewables,Summary of Proposed Investment,505600,,UNKNOWN,India,IND,Infrastructure,C,Sustainable Business Advisory Dept,Completed,10/23/2000,,,,,,IN,01/18/2021 09:37:00 PM
08/09/2000,Interlink Communications Ltd.,Summary of Proposed Investment,10312,Equity,"HEARTLAND INFORMATION SERVICES, INC",India,IND,other,C,"TMT, Venture Capital &amp; Funds",Completed,09/11/2000,,,,2,2,IN,01/18/2021 09:37:00 PM
08/04/2000,"Eximbank West LB Factoring Co., Ltd.",Summary of Proposed Investment,10191,Loan,SBI GLOBAL FACTORS LIMITED,India,IND,other,C,"Global Industry, Financial Markets",Completed,09/19/2000,,,10,2.41,12.41,IN,01/18/2021 09:37:00 PM
